Date,IC
2019-01-31 00:00:00,0.10421561686246744
2019-02-28 00:00:00,0.10372092688370753
2019-03-31 00:00:00,0.006383545534182136
2019-04-30 00:00:00,0.054766779067116265
2019-05-31 00:00:00,-0.02959509438037752
2019-06-30 00:00:00,-0.003161196644786579
2019-07-31 00:00:00,0.04087984351937408
2019-08-31 00:00:00,0.03430583322333289
2019-09-30 00:00:00,-0.02369251077004308
2019-10-31 00:00:00,-0.006390457561830246
2019-11-30 00:00:00,-0.009681830727322907
2019-12-31 00:00:00,-0.02430403321613286
2020-01-31 00:00:00,0.02942162168648674
2020-02-29 00:00:00,0.00015216060864243455
2020-03-31 00:00:00,0.0047397309589238355
2020-04-30 00:00:00,-0.04334292537170148
2020-05-31 00:00:00,0.003152460609842439
2020-06-30 00:00:00,0.05018381673526694
2020-07-31 00:00:00,-0.014928539714158855
2020-08-31 00:00:00,0.018046056184224737
2020-09-30 00:00:00,0.054811803247212985
2020-10-31 00:00:00,-0.016843459373837494
2020-11-30 00:00:00,-0.02772260689042756
2020-12-31 00:00:00,-0.03147276589106357
2021-01-31 00:00:00,0.013019572078288313
2021-02-28 00:00:00,-0.027664142656570627
2021-03-31 00:00:00,-0.07563063852255408
2021-04-30 00:00:00,-0.0061477685910743644
2021-05-31 00:00:00,0.049912519650078604
2021-06-30 00:00:00,0.04552635810543242
2021-07-31 00:00:00,0.010347785391141564
2021-08-31 00:00:00,0.030613082452329805
2021-09-30 00:00:00,0.023174204696818784
2021-10-31 00:00:00,-0.03962060648242593
2021-11-30 00:00:00,-0.039512702050808195
2021-12-31 00:00:00,0.03885385141540566
2022-01-31 00:00:00,0.02143189372757491
2022-02-28 00:00:00,0.04757145428581714
2022-03-31 00:00:00,-0.010911403645614581
2022-04-30 00:00:00,-0.019404365617462466
2022-05-31 00:00:00,-0.032313249252997014
2022-06-30 00:00:00,-0.03717566870267481
2022-07-31 00:00:00,-0.030873051492205966
2022-08-31 00:00:00,-0.0010530282121128485
2022-09-30 00:00:00,-0.0386939147756591
2022-10-31 00:00:00,0.09871345085380341
2022-11-30 00:00:00,-0.0006454105816423265
2022-12-31 00:00:00,0.08086784347137388
2023-01-31 00:00:00,0.05967998271993087
2023-02-28 00:00:00,0.08655154620618481
2023-03-31 00:00:00,0.033229476917907674
2023-04-30 00:00:00,-0.02743633374533498
2023-05-31 00:00:00,0.03997782391129564
2023-06-30 00:00:00,-0.04038102552410209
2023-07-31 00:00:00,0.0004920979683918736
2023-08-31 00:00:00,-0.06529005316021265
2023-09-30 00:00:00,0.033864423457693825
2023-10-31 00:00:00,-0.04216528866115464
2023-11-30 00:00:00,0.011130860523442095
2023-12-31 00:00:00,0.04819036876147504
MEAN,0.008531245324981297
